"","species","Ocean basin","Zooxanthellate","Growth form typical","Substrate attachment","Coloniality","Corallite width maximum","Mode of larval development","Sexual system","Colony maximum diameter","Growth rate","Symbiodinium sp. in propagules","Oocyte size at maturity","Skeletal density","Symbiodinium density","Calcification rate","Phosphorus concentration","Nitrogen concentration","Polyps per area","RNA:DNA ratio","Chlorophyll a","Total biomass","Protein biomass","Dark respiration","Polyp fecundity","Gross photosynthesis","Colony area","Lipid content","Size at maturity","Colony shape factor","Generation time","Age at maturity","Propagule size on release","Eggs per area","Mature egg diameter","Egg size","Ratio of female to male gonads","Abundance GBR","Water clarity preference","Species age phylogeny","Genus fossil age","Range size"
"1","Acanthastrea brevis","pacific","zooxanthellate","submassive","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.89528776986838,25.666,29706830.895
"2","Acanthastrea echinata","pacific","zooxanthellate","massive","attached","colonial",NA,"spawner","hermaphrodite",NA,NA,NA,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","both",2.47727808303031,25.666,64652312.74
"3","Acanthastrea hemprichi","pacific","zooxanthellate","massive","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","both",2.811674429,25.666,29943279.33
"4","Acanthastrea ishigakiensis","pacific","zooxanthellate","massive","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",2.47535686211955,25.666,39456326.63
"5","Acanthastrea regularis","pacific","zooxanthellate","massive","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","clear",2.56281175185912,25.666,15524615.27
"6","Acanthastrea rotundoflora","pacific","zooxanthellate","encrusting","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","clear",2.47727808303031,25.666,29870334.405
"7","Acanthastrea subechinata","pacific","zooxanthellate","massive","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",2.11567172215937,25.666,9201031.595
"8","Acropora abrolhosensis","pacific","zooxanthellate","branching_open","attached","colonial",1.5,"spawner","hermaphrodite",533.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",2.0510166523841,52.44,25535461.155
"9","Acropora abrotanoides","pacific","zooxanthellate","branching_open","attached","colonial",1.2,"spawner","hermaphrodite",NA,127.5,NA,661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",3.87591025313423,52.44,63419684.165
"10","Acropora aculeus","pacific","zooxanthellate","corymbose","attached","colonial",1,"spawner","hermaphrodite",40,NA,NA,NA,NA,NA,NA,0.196212865333333,0.702967494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",1.06543566288177,52.44,47171291.805
"11","Acropora acuminata","pacific","zooxanthellate","branching_open","attached","colonial",1.2,NA,NA,133.333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","both",1.93903601352788,52.44,42885297.475
"12","Acropora akajimensis","pacific","zooxanthellate","branching_closed","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","clear",1.3739231726837,52.44,7033121.9685
"13","Acropora anthocercis","pacific","zooxanthellate","tables_or_plates","attached","colonial",1.3,"spawner","hermaphrodite",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",1.9100380709495,52.44,50575611
"14","Acropora appressa","pacific","zooxanthellate","corymbose","attached","colonial",NA,"spawner","hermaphrodite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",2.36916149932627,52.44,10790849.868
"15","Acropora arabensis","pacific","zooxanthellate","digitate","attached","colonial",2,"spawner","hermaphrodite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",0.55112718077608,52.44,14109748.511
"16","Acropora aspera","pacific","zooxanthellate","branching_open","attached","colonial",1.8,"spawner","hermaphrodite",NA,49.4930322580645,NA,NA,0.92,1500000,0.183272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",3.01610547560649,52.44,41935916.085
"17","Acropora austera","pacific","zooxanthellate","branching_open","attached","colonial",1.5,NA,NA,NA,62.9,NA,545,1.44,NA,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","clear",1.30159797054609,52.44,60709970.61
"18","Acropora awi","pacific","zooxanthellate","hispidose","attached","colonial",1,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"both",1.08349899373273,52.44,9450503.282
"19","Acropora azurea","pacific","zooxanthellate","branching_closed","attached","colonial",NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","clear",NA,52.44,4518682.3585
"20","Acropora batunai","pacific","zooxanthellate","tables_or_plates","attached","colonial",0.5,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",4.37973666658915,52.44,6878776.989
"21","Acropora bifurcata","pacific","zooxanthellate","tables_or_plates","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.47191810299436,52.44,22008617.515
"22","Acropora branchi","pacific","zooxanthellate","tables_or_plates","attached","colonial",NA,"spawner","hermaphrodite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.97490789929938,52.44,4980623.848
"23","Acropora bushyensis","pacific","zooxanthellate","digitate","attached","colonial",1.5,"spawner","hermaphrodite",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rare","clear",0.751787283976631,52.44,4366840.0255
"24","Acropora cardenae","pacific","zooxanthellate","branching_open","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",0.838407245567249,52.44,3823695.1835
"25","Acropora carduus","pacific","zooxanthellate","hispidose","attached","colonial",0.9,"spawner",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",0.874357006058655,52.44,37905091.42
"26","Acropora caroliniana","pacific","zooxanthellate","tables_or_plates","attached","colonial",1,NA,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","clear",3.36788174695489,52.44,32460333.615
"27","Acropora cerealis","pacific","zooxanthellate","corymbose","attached","colonial",0.8,"spawner","hermaphrodite",50,42.9,NA,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",1.06004943315889,52.44,57556070.995
"28","Acropora cervicornis","atlantic","zooxanthellate","branching_open","attached","colonial",1.7,"spawner","hermaphrodite",68.69,48.1904761904762,"no",NA,1.50642307692308,1514196.27192982,7.66666666666667,NA,NA,25,NA,2.075,2.58910671067107,NA,0.373333333333333,NA,1.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",3.23614716404357,52.44,3772055.817
"29","Acropora chesterfieldensis","pacific","zooxanthellate","branching_closed","attached","colonial",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rare","clear",1.40131204157971,52.44,17215822.45
"30","Acropora clathrata","pacific","zooxanthellate","tables_or_plates","attached","colonial",0.9,"spawner","hermaphrodite",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",0.681699077952678,52.44,65281082.79
"31","Acropora convexa","pacific","zooxanthellate","corymbose","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"turbid",1.03122644778517,52.44,7892575.297
"32","Acropora cophodactyla","pacific","zooxanthellate","digitate","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.90823878901124,52.44,15800347.76
"33","Acropora copiosa","pacific","zooxanthellate","branching_open","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",0.885142321957937,52.44,34845412.015
"34","Acropora cylindrica","pacific","zooxanthellate","branching_open","attached","colonial",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.89543826001161,52.44,10207718.489
"35","Acropora cytherea","pacific","zooxanthellate","tables_or_plates","attached","colonial",1,NA,NA,300,59.725,NA,543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,"common","clear",1.24172200256654,52.44,74032698.81
"36","Acropora dendrum","pacific","zooxanthellate","corymbose","attached","colonial",1.2,"spawner",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rare","clear",0.70882642845992,52.44,36800811.76
"37","Acropora derawanensis","pacific","zooxanthellate","branching_open","attached","colonial",1,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"both",0.823843684054656,52.44,7301217.469
"38","Acropora desalwii","pacific","zooxanthellate","corymbose","attached","colonial",0.8,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",0.939961960726763,52.44,7451118.973
"39","Acropora digitifera","pacific","zooxanthellate","digitate","attached","colonial",1.6,"spawner","hermaphrodite",100,37.6,NA,NA,1.52,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",0.720078523765105,52.44,58582318.435
"40","Acropora divaricata","pacific","zooxanthellate","tables_or_plates","attached","colonial",1.1,"spawner","hermaphrodite",NA,41.5,NA,622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",0.900376000707082,52.44,50358454.52
"41","Acropora donei","pacific","zooxanthellate","branching_open","attached","colonial",1.4,"spawner","hermaphrodite",266.666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","clear",1.3739231726837,52.44,31618634.395
"42","Acropora downingi","pacific","zooxanthellate","tables_or_plates","attached","colonial",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",0.794351463499658,52.44,4727724.03
"43","Acropora echinata","pacific","zooxanthellate","hispidose","attached","colonial",1,"spawner","hermaphrodite",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","clear",5.72711205222336,52.44,33402937.59
"44","Acropora efflorescens","pacific","zooxanthellate","tables_or_plates","attached","colonial",NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.23801726725173,52.44,15054385.8955
"45","Acropora elegans","pacific","zooxanthellate","tables_or_plates","attached","colonial",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.4257941528004,52.44,6837770.7935
"46","Acropora elegantula","pacific","zooxanthellate","branching_closed","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.0768805506411,52.44,63226.54063
"47","Acropora elseyi","pacific","zooxanthellate","hispidose","attached","colonial",0.9,"spawner","hermaphrodite",50,NA,"no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",2.0510166523841,52.44,50730321.805
"48","Acropora eurystoma","pacific","zooxanthellate","corymbose","attached","colonial",2,"spawner","hermaphrodite",NA,34.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",2.26328314687564,52.44,NA
"49","Acropora exquisita","pacific","zooxanthellate","branching_closed","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uncommon","clear",0.933784860777458,52.44,29541045.985
"50","Acropora fastigata","pacific","zooxanthellate","branching_closed","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"rare","clear",1.33060517618054,52.44,8012282.214
"51","Acropora fenneri","pacific","zooxanthellate","branching_open","attached","colonial",NA,NA,NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",1.42580407280718,52.44,3877334.04455
"52","Acropora filiformis","pacific","zooxanthellate","branching_open","attached","colonial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"clear",0.787208102559007,52.44,257656.448765
"53","Acropora florida","pacific","zooxanthellate","branching_open","attached","colonial",1.4,"spawner","hermaphrodite",1500,NA,NA,NA,NA,1890000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"common","clear",3.79735420056447,52.44,50346268.88
